delivery_start__utc_,delivery_end__utc_,price__euro_per_mwh_
2025-06-09 18:15:00.000000 UTC,2025-06-09 18:30:00.000000 UTC,124.36
2025-06-09 18:30:00.000000 UTC,2025-06-09 18:45:00.000000 UTC,130.45
2025-06-09 18:45:00.000000 UTC,2025-06-09 19:00:00.000000 UTC,123.84
2025-06-09 19:00:00.000000 UTC,2025-06-09 19:15:00.000000 UTC,145.7
2025-06-09 19:15:00.000000 UTC,2025-06-09 19:30:00.000000 UTC,129.3
2025-06-09 19:30:00.000000 UTC,2025-06-09 19:45:00.000000 UTC,98.95
2025-06-09 19:45:00.000000 UTC,2025-06-09 20:00:00.000000 UTC,90.66
2025-06-09 20:00:00.000000 UTC,2025-06-09 20:15:00.000000 UTC,123.3
2025-06-09 20:15:00.000000 UTC,2025-06-09 20:30:00.000000 UTC,96.99
2025-06-09 20:30:00.000000 UTC,2025-06-09 20:45:00.000000 UTC,91.6
2025-06-09 20:45:00.000000 UTC,2025-06-09 21:00:00.000000 UTC,86.93
2025-06-09 21:00:00.000000 UTC,2025-06-09 21:15:00.000000 UTC,116.16
2025-06-09 21:15:00.000000 UTC,2025-06-09 21:30:00.000000 UTC,94.99
2025-06-09 21:30:00.000000 UTC,2025-06-09 21:45:00.000000 UTC,91.57
2025-06-09 21:45:00.000000 UTC,2025-06-09 22:00:00.000000 UTC,76.81
2025-06-09 22:00:00.000000 UTC,2025-06-09 22:15:00.000000 UTC,77.35
2025-06-09 22:15:00.000000 UTC,2025-06-09 22:30:00.000000 UTC,88.27
2025-06-09 22:30:00.000000 UTC,2025-06-09 22:45:00.000000 UTC,77.62
2025-06-09 22:45:00.000000 UTC,2025-06-09 23:00:00.000000 UTC,72.25
2025-06-09 23:00:00.000000 UTC,2025-06-09 23:15:00.000000 UTC,102.55
2025-06-09 23:15:00.000000 UTC,2025-06-09 23:30:00.000000 UTC,86.74
2025-06-09 23:30:00.000000 UTC,2025-06-09 23:45:00.000000 UTC,82.53
2025-06-09 23:45:00.000000 UTC,2025-06-10 00:00:00.000000 UTC,81.6
2025-06-10 00:00:00.000000 UTC,2025-06-10 00:15:00.000000 UTC,87.18
